Bundesland;Name;PSK;MQTT_enabled;Bemerkung
Hessen;Mesh Hessen;+uTMEaOR7hkqaXv+DROOEd5BhvAIQY/CZ/Hr4soZcOU=;true;
Hessen;Mesh BAB;AbRRVeW3tVTLbC/IvgERg+ojv0xgZkZfRVGppcWWSqM=;true;
Hessen;LDK;EuV9QplwZPQpebsXrnPDP0sndCDaPExpFpk57aCBbm4=;true;
Hessen;Hochtaunus;LREw6GG11AWahkq2XnZEXdbWP7OSjTmBBVzBx7MkKus=;;
Hessen;LM-WEL;K8IAnm21+nK7IlBVemAA1lRzW3moADdt20WcWPVK/+Q=;;
Hessen;LKK-Kassel;VHsawESE+Qn04Aksbbrz+Nv+Jod1du35/iATSKyshHc=;;
Hessen;WMK;Mzl3RndSMGMwZlc1anRsaFBaOElvRkZLYWFRYWdLSFU=;true;Werra-Meissner-Kreis
Hessen;MKK-Hessen;erUcEgWkShKbD2+7cf0+QgrQTdIr7xdW+8D9RBzoUbw=;;
Hessen;HessenTest;kjp6baIF6IjlCzCclbazHVMscV0J7JYHMmSY4xOlVyw=;;zum Testen, ping oder test senden, Bots antworten mit Empfangsbestaetigung
Hessen;MeshMTK;v/yxHGBM0tF5HxOx7wWSS/Ph1OXBx3r/8hwFrxEd2xk=;true;Main Taunus Kreis
Hessen;MeshHofheim;HHPUAXBoAG44jhfcKVbMPcKZRHvtHOnswFFARtEepwU=;;
Hessen;Nordhessen;ICCW3Wt9W/m6tPkPS8O6G7Pf7x0dPHAueEEyYWV9p6Q=;;
Hessen;VB-Hessen;aahqo9gHy+LQ9NOh8O1GCRpNombS6E9m3JTRbArykio=;;Vogelsbergkreis
Bayern;[DE] Munich;mjw1yMZmrQSkL8BNH+3egZ1jt3cEVfiEVdn89AfAkqc=;true;Muenchen - Grossraum
Bayern;Aburg;bURIRjBmcHRFWVhTd04wZ3dvTkxkTEhZMW9BNXdoTk8=;true;Aschaffenburg
Baden-Württemberg;AlbSchwarz;s3Xfzs3qaUHGSlf3V+jqcKY0g7UPoThmskZBdKVUFSw=;;Schwaebische Alb - Schwarzwald
Brandenburg;BB-Mesh;iVjqjpl2tYQ4wmWANAJRx0E6oHJgDjwd+/a8I568CP0=;true;Zehdenick
Baden-Württemberg;BWMesh;iVjqjpl2tYQ4wmWANAJRx0E6oHJgDjwd+/a8I568CP0=;true;Schoemberg
Baden-Württemberg;Calw;ckxUWlZkTzJubGdzYmhaNGpGUU1abndFbXluQXR5alU=;true;Calw
Baden-Württemberg;LandkrKA;OWfiFUeGCPZ/WsvaNxXtsMERjRC/9uZRPtKcYBZIW3A=;true;Landkreis Karlsruhe
Baden-Württemberg;StuttMesh;dkdVTmExUEp2WWZqbmNzWUxRZG9saUduUTF0UjQ0TWU=;;Stuttgart
Bayern;ChaosAmSee;H35VoN792pOZTbmRaysIrt6lypn6ntDO3Wge5x5T2Y0=;;Ammersee
Bayern;Oberpfalz;eNEBivF0EjdAm8qR+q3IsA==;true;Oberpfalz
Bayern;RaumMUC;DasPasswortHierIstNurA==;true;München
Bayern;U-Franken;dDVDu7dVSHKV3wqfKgp6iiet2zcH0fIZ5cki1ZOMATQ=;true;Unterfranken
Hamburg;HH-Mesh;6K4yNU4InO4aiIDON0dS8tiyMlMayUte4jBYi8vk71I=;true;
